LR,Sparsity,SmallGrad,MetricQ,AutoCorr,NormSPS,CPBD,DarkChannel,Saturation,Contrast,SimpleRinging,PyrRing,PercRing,HumanBT
0.51848,0.11338,0.0022697,-51.761,3.5839,0.61567,-0.3861,0.55931,0.090989,78508,0.085355,0.0031773,2.3429,0.53371
0.48834,0.11825,0.0024166,-52.02,3.5514,0.62868,-0.36923,0.52303,0.090441,79954,0.10031,0.004188,4.1143,-0.13668
0.4483,0.084749,0.0021857,-30.429,2.7908,0.69279,-0.6819,0.49632,0.06479,28508,0.10077,0.00015033,2.3286,1.3156
0.55876,0.093626,0.0020311,-38.1,2.9114,0.62769,-0.49166,0.60479,0.055746,47503,0.05367,0.0027429,2.5,-0.76993
0.51408,0.095448,0.0019185,-41.727,2.6043,0.60763,-0.5052,0.56107,0.057527,60446,0.11025,0.0021231,2.8714,-0.55505
0.4889,0.10519,0.0023136,-44.92,3.3725,0.6371,-0.3507,0.52755,0.093255,59352,0.060293,0.0028041,3.8286,-1.4269
0.50404,0.079869,0.0016626,-37.553,3.5918,0.61051,-0.57031,0.56311,0.034137,48111,0.11712,0.00069618,3.1571,-0.97393
0.51492,0.073422,0.0016758,-30.717,2.7631,0.64534,-0.5468,0.56858,0.049985,28857,0.064607,0.0004851,2.6143,-0.49699
0.48538,0.12074,0.0020301,-62.383,2.9234,0.56368,-0.43009,0.52761,0.075121,129340,0.026904,0.0088668,3.1429,1.5045
0.49542,0.1221,0.0023097,-58.377,3.7012,0.60524,-0.39952,0.5342,0.086302,101520,0.12276,0.003765,3.2,-1.3683
0.55774,0.029574,0.0008028,-14.808,5.9222,0.65042,-0.3181,0.60002,0.04615,8617.7,0,0,0,-0.55847
0.5617,0.036326,0.00087072,-17.792,4.5882,0.6213,-0.44241,0.60191,0.049744,14569,0.01021,5.6824E-006,3.0845,-0.37093
0.55785,0.042067,0.00086522,-23.267,3.5117,0.58522,-0.44242,0.59627,0.058487,24763,0.063672,7.1578E-006,1.3239,0.19795
0.56054,0.042791,0.0008703,-23.493,3.7685,0.58782,-0.46634,0.59957,0.056302,27765,0.084679,0.000013398,1.338,-0.064277
0.54864,0.048279,0.00069922,-24.584,4.7326,0.58386,-0.38564,0.58238,0.07429,30965,0.076524,0.000027579,2.0845,0.50666
0.53213,0.05209,0.00072981,-24.947,4.1776,0.59274,-0.37419,0.56649,0.078049,33412,0.097368,0.000080279,7.1549,1.0228
0.52106,0.052037,0.00099732,-20.717,3.0882,0.63797,-0.68082,0.5582,0.068738,23458,0.1476,0.00002601,2.4366,0.16689
0.55956,0.043612,0.00086842,-24.286,3.9927,0.58457,-0.43095,0.59813,0.055298,32102,0.056235,0.000022131,1.6056,-0.72607
0.55746,0.043689,0.00086374,-25.778,4.0026,0.58245,-0.44927,0.59699,0.05589,33763,0.049059,0.000031848,1.3662,-0.66981
0.5475,0.046627,0.00074163,-23.242,4.5722,0.59703,-0.35693,0.5816,0.072802,26967,0.075382,0.000020472,3.9437,0.76622
0.54577,0.040339,0.00073816,-21.443,3.5237,0.57624,-0.45053,0.58671,0.051826,23671,0.048015,0.000024918,6.1127,0.054781
0.55714,0.040808,0.00087385,-21.179,4.1385,0.58114,-0.42943,0.59549,0.057157,23129,0.10484,7.7543E-006,2.0986,0.34113
0.55659,0.045965,0.00083742,-27.957,4.409,0.56793,-0.41993,0.59472,0.060376,45163,0.10865,0.00019383,1.7183,-1.025
0.54432,0.044113,0.00079303,-22.309,5.0187,0.59983,-0.40213,0.5783,0.071134,23576,0.0056431,0.000017586,1.4085,0.35815
0.50366,0.086458,0.001756,-29.737,3.0004,0.6781,-0.43023,0.53781,0.026171,37430,0,0,0,-0.81317
0.52965,0.10036,0.001905,-33.391,2.3887,0.65667,-0.52253,0.56311,0.027041,51793,0.026158,9.9387E-007,1.7605,0.19521
0.53233,0.13103,0.002166,-41.717,1.7677,0.62223,-0.60135,0.56263,0.033562,96528,0.10059,0.000015853,2.4251,-0.077328
0.53066,0.11604,0.0019724,-39.815,1.7493,0.62625,-0.57975,0.56297,0.029315,76087,0.059373,3.3547E-006,0.90419,-0.040214
0.5181,0.13684,0.0022557,-43.674,2.2353,0.62881,-0.47528,0.54554,0.048556,102040,0.076027,0.000025505,1.5629,1.0002
0.49914,0.13779,0.0023052,-41.519,2.1977,0.62909,-0.47662,0.52459,0.050522,102740,0.077227,0.000014966,4.6347,0.31329
0.46818,0.12973,0.0026205,-37.705,1.8986,0.65111,-0.62085,0.4965,0.048935,76192,0.068453,0.000002579,1.2814,0.82626
0.53343,0.12891,0.0022435,-39.394,2.015,0.63339,-0.55674,0.56255,0.035934,88174,0.082849,0.000010948,2.3174,0.756
0.51587,0.11749,0.0019893,-40.357,1.9059,0.62986,-0.55139,0.54766,0.03096,77552,0.06683,1.3163E-006,0.90419,1.1257
0.49697,0.20137,0.003106,-58.576,2.2724,0.60423,-0.35959,0.51538,0.075574,239160,0.17515,0.00060916,3.1018,-3.471
0.51968,0.13497,0.0021666,-46.187,1.9165,0.60593,-0.5879,0.55118,0.032773,114850,0.11364,0.000036168,1.2275,-1.2177
0.51498,0.10732,0.0019214,-35.772,2.0726,0.64096,-0.54874,0.54762,0.029287,61896,0.038955,1.2782E-006,0.80838,0.50933
0.5179,0.15962,0.0023036,-52.635,1.7574,0.59858,-0.60374,0.54709,0.038979,162190,0.16106,0.000055084,2.5749,0.45142
0.48356,0.16421,0.0025944,-54.946,2.5076,0.61456,-0.354,0.50413,0.076859,155180,0.075016,0.000066791,2.006,0.44205
0.79531,0.0046901,0,-2.4191,7.226,0.60103,-0.37867,0.82662,0,4886.1,0,0,0,-3.7916
0.75521,0.0096518,0.00027472,-4.1772,6.1178,0.57363,-0.1408,0.78054,0,6668,-0.22283,0.0004615,31.833,-0.36384
0.75367,0.011167,0.00052639,-5.1157,6.6504,0.55882,-0.10537,0.78051,0.00026019,7811.3,-0.35807,0.0009676,18.917,1.1549
0.75482,0.011111,0.00055057,-5.03,6.1077,0.54838,-0.16704,0.78177,0.000066667,7932.8,-0.19971,0.0011529,27,2.1155
0.75804,0.010487,0.00030201,-4.8619,6.056,0.56544,-0.1708,0.78476,0.00014722,7371.5,-0.3044,0.00057936,16.917,1.0533
0.66959,0.015501,0.00086184,-7.5901,11.962,0.57266,-0.0087077,0.69958,0.0022602,10281,-0.62849,0.011792,28.5,-4.3489
0.73464,0.014405,0.00086641,-4.3918,3.2038,0.66988,-0.66416,0.76324,3.7037E-006,7086.7,0.2973,0.0007686,32.333,-1.2547
0.76498,0.0097464,0.00017885,-4.528,5.2675,0.56455,-0.2039,0.79095,9.2593E-006,6980.1,-0.33019,0.00058951,20,0.44706
0.75458,0.010458,0.00050705,-4.7124,6.3705,0.56383,-0.12399,0.7821,0.000027778,7201.8,-0.25091,0.00099411,30.583,1.8403
0.73821,0.011147,0.00051965,-5.2532,7.8076,0.57034,-0.070544,0.76455,0.00091759,7624.8,-0.44212,0.0011673,31.667,-1.914
0.76355,0.00937,0.00021235,-4.2387,5.853,0.57296,-0.14963,0.7904,5.5556E-006,6578.9,-0.30207,0.00049566,33,0.79583
0.75033,0.0111,0.00060519,-5.215,6.809,0.55714,-0.082498,0.7769,0.00022315,7749.9,-0.29762,0.0010285,25.167,2.2771
0.75927,0.010442,0.0004839,-4.7486,6.1096,0.55861,-0.13446,0.78612,0.000019444,7312.3,-0.34694,0.00097416,29.167,1.5023
0.75951,0.010093,0.00024145,-4.7179,6.063,0.57831,-0.19208,0.78682,0.000094444,6961.8,-0.24786,0.00045409,11.583,0.48666
0.77549,0.011661,0.00042205,-7.1761,12.167,0.52915,-0.063739,0.7954,0,33016,0,0,0,-1.4856
0.71209,0.031573,0.0006875,-17.245,10.426,0.50374,-0.066571,0.72193,0.00090455,72263,-0.19409,0.0076354,43.4,-2.4215
0.76147,0.020248,0.00075089,-11.354,9.9668,0.45526,-0.04583,0.77732,0.00055956,48486,-0.12719,0.00048996,22,0.94658
0.74898,0.022465,0.00072844,-12.752,6.4083,0.47499,-0.035442,0.76212,0.00039678,48612,-0.1641,0.0009791,25.5,1.3154
0.72322,0.02912,0.00057342,-19.984,7.0538,0.42942,-0.040426,0.73409,0.0016463,80700,-0.26185,0.0027929,13.6,0.19415
0.74697,0.023801,0.00055893,-14.176,8.7417,0.45756,-0.023409,0.75811,0.00073899,53272,-0.50616,0.0012236,17,0.5239
0.71049,0.030279,0.00086331,-13.109,8.2452,0.57315,-0.40458,0.72469,0.000084166,49986,0.20318,0.001579,26.5,0.61925
0.75195,0.020503,0.00076787,-11.64,6.4594,0.47569,-0.047061,0.76616,0.000014798,45335,-0.17224,0.00093125,13.3,0.49762
0.75753,0.02069,0.00077897,-12.239,6.3541,0.47177,-0.025791,0.77281,0.00050962,46261,-0.1666,0.00064639,16.3,0.27263
0.72858,0.024491,0.00072457,-16.159,9.6777,0.44498,-0.027213,0.74075,0.00086201,61058,-0.2214,0.0010148,1.5,0.28612
0.76245,0.019357,0.00074487,-10.898,8.6423,0.47609,-0.027958,0.77729,0.000029597,42435,-0.16877,0.0008058,3.1,-0.74924
0.75001,0.021994,0.0006835,-12.123,7.8601,0.47091,-0.033062,0.76403,0.000063818,47439,-0.16337,0.001409,26.1,-0.44455
0.76044,0.018114,0.00087088,-10.97,8.821,0.44399,-0.026762,0.77717,0.00041158,45360,-0.11675,0.00028385,1.6,-0.10761
0.72521,0.025453,0.00052933,-15.868,9.9913,0.44211,-0.045245,0.73614,0.001121,62957,-0.17534,0.0011562,1.8,0.55285
0.71655,0.024295,0.00021209,-9.9177,7.3082,0.5483,-0.43384,0.7354,0.0055974,36536,0,0,0,-2.7577
0.70611,0.033001,0.00068662,-12.321,3.9016,0.47293,-0.48696,0.72255,0.007913,55562,0.084937,0.000049825,4.6667,-2.5314
0.69104,0.035863,0.00058992,-14.927,2.4262,0.42974,-0.42458,0.70631,0.011809,73112,-0.011584,0.0003161,3.3226,2.355
0.69015,0.03532,0.00057396,-14.951,2.6031,0.42764,-0.40385,0.7059,0.012568,70452,-0.034559,0.0002893,3.172,1.3137
0.67001,0.040982,0.00072271,-17.783,3.1954,0.44068,-0.33404,0.68406,0.025331,87090,0.079947,0.00049209,3.3763,1.7108
0.67471,0.044433,0.00071564,-17.587,3.3969,0.47441,-0.2802,0.68731,0.032482,84572,-0.095361,0.00057598,5.1613,-1.8363
0.65842,0.053401,0.0008653,-12.319,2.5954,0.60299,-0.74345,0.67216,0.021896,59670,0.34151,0.00016559,3.2903,1.231
0.6954,0.03434,0.0004687,-13.748,2.6315,0.44636,-0.44647,0.71105,0.011047,64342,-0.020983,0.00023457,3.129,0.5458
0.69093,0.036082,0.00060219,-15.429,2.5384,0.42306,-0.38728,0.70657,0.013134,76538,-0.021988,0.00027146,3.3548,1.4792
0.67765,0.039863,0.00075967,-15.348,3.7957,0.48703,-0.34234,0.69188,0.027042,68575,0.085227,0.00024154,3.0753,-1.7174
0.69709,0.029898,0.0006287,-13.056,3.3907,0.43353,-0.45055,0.71453,0.0077451,56502,-0.0028622,0.00003898,1.5054,-1.9983
0.69764,0.033053,0.00063504,-14.081,3.09,0.42591,-0.40835,0.71437,0.01052,65662,0.01725,0.000086345,2.914,-0.10412
0.68789,0.038114,0.00058235,-17.884,2.5046,0.39354,-0.35648,0.70298,0.014283,100360,-0.022588,0.0004305,3.9677,2.8215
0.62992,0.051569,0.00084987,-26.424,3.5994,0.43634,-0.18446,0.64153,0.072994,139120,-0.031387,0.0024658,3.129,-0.51178
0.53649,0.030487,0.000090747,-15.925,7.7587,0.43454,-0.34081,0.64731,0.0031988,16444,0,0,0,-0.45151
0.5578,0.059857,0.00094241,-16.86,3.2863,0.4917,-0.60079,0.63598,0.0094705,32904,0.16534,0.00026641,4.1013,0.57707
0.53877,0.047564,0.00018435,-16.036,3.7256,0.4521,-0.66019,0.63926,0.0061632,27945,0.16097,0.000022658,1.0127,-1.135
0.51622,0.05336,0.00032555,-19.716,3.3215,0.4594,-0.62193,0.61624,0.0094054,34555,0.22132,0.000057276,1.5949,0.15193
0.47904,0.053567,0.00092575,-21.383,4.132,0.44674,-0.47694,0.55813,0.014783,37430,0.10109,0.00032009,1.8608,1.3531
0.50568,0.056307,0.00089134,-17.367,3.7052,0.46311,-0.61626,0.59999,0.011072,34544,0.088434,0.00023515,2.7342,0.82669
0.50434,0.057398,0.00074661,-19.523,3.5535,0.47331,-0.60349,0.58904,0.019952,34867,0.23669,0.00016969,3.4684,1.0735
0.53337,0.037428,0.00010281,-14.849,4.8161,0.4386,-0.5194,0.64333,0.0042665,21509,0.097708,0.00000182,0.98734,-1.4848
0.52322,0.05209,0.00034207,-16.244,3.2648,0.46352,-0.67103,0.62756,0.0080165,31327,0.20913,0.000033527,1.5316,0.41793
0.45463,0.053654,0.00088788,-22.6,5.4904,0.45758,-0.34062,0.49398,0.020386,30850,-0.023119,0.0041165,2.9241,-2.4131
0.5286,0.047242,0.00018856,-14.153,3.7997,0.45713,-0.70032,0.63229,0.006046,27864,0.17965,0.000031146,1.9873,-0.88885
0.52846,0.043782,0.00036458,-15.437,4.2182,0.44687,-0.58892,0.62814,0.0060894,25357,0.11294,0.000040391,1.519,-0.66858
0.47489,0.063717,0.00092421,-28.722,4.4032,0.48829,-0.35166,0.53439,0.015069,37661,0.17839,0.0010634,2.2278,1.5079
0.47748,0.05931,0.00094387,-26.752,5.3889,0.44881,-0.37387,0.54412,0.024913,41634,0.11778,0.001016,2.4937,1.1337
0.54748,0.056988,0.0013021,-27.474,4.2566,0.72886,-0.52578,0.56143,0.005679,33502,0,0,0,-2.748
0.51613,0.096549,0.0020187,-33.245,3.8445,0.71666,-0.56217,0.52535,0.024025,77576,0.017987,0.00046723,7.4444,-1.0439
0.52663,0.090988,0.0016254,-45.721,2.8657,0.66775,-0.67082,0.53761,0.011687,100340,0.11467,9.5785E-006,5.8889,0.31098
0.50045,0.10705,0.0018405,-47.767,2.8329,0.66306,-0.63582,0.50858,0.025015,132440,-0.041501,0.00030087,5.6667,3.3246
0.49539,0.12401,0.0020834,-57.434,2.8174,0.65785,-0.55728,0.50168,0.064539,186670,0.029295,0.0006635,6.6111,1.4639
0.51498,0.12706,0.002367,-51.279,2.9484,0.68397,-0.55252,0.52132,0.069987,162880,0.016975,0.0017459,7,-1.7301
0.45639,0.12731,0.0032105,-43.15,3.0092,0.75293,-0.75127,0.46387,0.050085,100740,0.10457,0.00032067,3.8333,1.7181
0.5089,0.10433,0.0018759,-44.635,2.6906,0.66552,-0.63362,0.51725,0.024748,121740,-0.012116,0.00021387,6.7222,2.1856
0.51003,0.098193,0.0017346,-45.386,2.7324,0.66522,-0.6448,0.51946,0.016533,113200,0.041257,0.00012841,6.0556,2.2323
0.50489,0.14879,0.0026399,-63.028,3.6314,0.6798,-0.50004,0.51007,0.10998,238160,0.04918,0.0087393,7.3889,-4.8348
0.52939,0.086852,0.0015554,-43.845,2.6606,0.67076,-0.65104,0.54065,0.010536,90479,0.12475,7.7418E-006,4.7778,-0.62321
0.53236,0.078004,0.0015422,-35.565,2.7083,0.68521,-0.59224,0.54351,0.012659,64598,0.05236,2.9387E-006,4.0556,-0.60187
0.4916,0.12953,0.0018254,-67.951,3.0624,0.63572,-0.65784,0.49955,0.027366,259810,0.075963,0.00080583,7,1.806
0.48752,0.15306,0.0025799,-77.861,3.4124,0.66158,-0.52375,0.492,0.12421,289350,0.015269,0.0031068,6.4444,-1.4596
0.50158,0.017979,0.00016574,-5.6831,7.7502,0.68424,-0.31223,0.72884,0.31469,7234.5,0,0,0,NaN
0.45068,0.05328,0.0010862,-13.162,5.0852,0.72018,-0.28546,0.56589,0.33388,41093,0.025157,0.0094529,4,0.030563
0.48112,0.041906,0.00087802,-8.0438,3.6164,0.6961,-0.57373,0.68945,0.31781,29294,0.34712,0.000075524,4.0769,-2.4193
0.46716,0.049003,0.0011809,-10.631,3.4849,0.70363,-0.47218,0.65247,0.32282,38628,0.23151,0.00039587,4.2308,0.096432
0.46233,0.049627,0.0012043,-12.695,3.8932,0.70012,-0.35237,0.63417,0.3284,40813,0.17822,0.00083602,4.6154,0.69783
0.4623,0.053191,0.0011903,-13.296,3.9903,0.71189,-0.35784,0.59893,0.32798,44509,0.11354,0.0020475,6.4615,0.5439
0.4423,0.044343,0.00094123,-10.029,3.1607,0.69666,-0.51518,0.63999,0.32951,33158,0.2448,0.00021998,3.6154,0.55814
0.47333,0.045344,0.00068966,-9.7669,3.6055,0.69703,-0.52146,0.68259,0.31771,36162,0.33218,0.000097877,5.2308,-1.2864
0.47258,0.046071,0.00092887,-10.398,3.3769,0.69775,-0.51892,0.67367,0.31991,36446,0.3119,0.0001506,5.4615,0.35404
0.46159,0.043964,0.00082047,-9.9762,3.2266,0.69917,-0.52568,0.65682,0.32838,33102,0.24688,0.00017067,5,-0.26957
0.47724,0.047781,0.0010603,-11.922,4.2782,0.71777,-0.31337,0.64671,0.32036,36537,0.23058,0.00062678,4.7692,0.30736
0.47,0.042722,0.00082571,-9.7569,3.7409,0.7018,-0.45261,0.66989,0.32313,30921,0.3055,0.000119,5.6923,-0.35801
0.45924,0.052788,0.0012247,-14.666,4.6523,0.70271,-0.26941,0.61993,0.32345,47211,0.18663,0.0020818,4.6154,1.0841
0.44719,0.051489,0.0011465,-13.002,4.1316,0.70525,-0.36302,0.61175,0.33145,43733,0.21624,0.0014861,5.0769,0.66089
0.56734,0.048987,0.0014658,-23.213,7.3728,0.68323,-0.22777,0.59077,0.0012199,10369,0,0,0,-2.2703
0.54613,0.067886,0.001393,-31.546,4.2385,0.634,-0.36575,0.56762,0.0074688,21213,0.13402,0.000007992,8.7742,-1.8077
0.52616,0.094216,0.0019168,-43.116,3.4439,0.61461,-0.28416,0.54449,0.028589,43565,0.22794,0.00017622,8.6774,-1.6014
0.52868,0.081014,0.0017304,-40.168,3.4872,0.59672,-0.29368,0.54802,0.014431,36925,0.1576,0.00014468,7.1613,1.6967
0.51728,0.087366,0.0018794,-40.679,3.8504,0.61726,-0.28233,0.53507,0.03266,36055,0.19613,0.00015906,7.3226,-0.57449
0.52123,0.096885,0.0018608,-41.541,4.3493,0.64263,-0.26323,0.53513,0.054157,37607,0.20268,0.00054587,13.806,-1.7988
0.46413,0.11858,0.0033639,-43.247,3.6271,0.70897,-0.48534,0.47728,0.088137,35464,0.26657,0.00041844,8.8065,-0.063293
0.52789,0.082705,0.0017809,-41.559,3.2173,0.59962,-0.29523,0.54717,0.015029,38555,0.15618,0.00016957,7.2581,1.998
0.53076,0.077281,0.0016483,-37.861,3.3489,0.60442,-0.31714,0.55219,0.0098257,32406,0.14063,0.000096822,7.0645,1.253
0.52679,0.083979,0.0018946,-37.092,4.6575,0.64708,-0.28884,0.54527,0.034788,28660,0.15928,0.00016044,7.2903,-1.5206
0.52788,0.084501,0.0014896,-46.599,3.1777,0.56106,-0.31233,0.54848,0.018402,50555,0.24909,0.00012276,8.5484,0.72525
0.5317,0.074779,0.0015333,-36.868,3.111,0.59949,-0.34113,0.55306,0.0075975,31191,0.13483,0.000080544,7.2903,1.367
0.52319,0.089371,0.0017549,-47.457,3.1415,0.57629,-0.27132,0.54253,0.024718,52225,0.18012,0.00044976,8.4194,2.712
0.52083,0.08302,0.001867,-39.528,3.8724,0.61453,-0.30529,0.53952,0.021282,33858,0.13865,0.000094289,8.7419,-0.11545
0.68334,0.041029,0.0010397,-13.807,5.3406,0.72461,-0.55484,0.69428,4.0298E-006,26078,0,0,0,-1.1387
0.65123,0.069246,0.0014775,-21.846,3.4566,0.65094,-0.46638,0.66078,0.00020552,58704,0.18221,0.00048766,3.6444,0.55793
0.65936,0.068587,0.0014531,-24.464,3.1438,0.61472,-0.40701,0.66839,0.00032507,67479,0.15076,0.00030931,2.7333,1.2131
0.66899,0.057034,0.0014042,-19.45,2.8363,0.63722,-0.47029,0.67882,0.00018537,46486,0.13273,9.8766E-006,1.4111,0.88167
0.6427,0.071764,0.0014618,-30.431,3.6155,0.60506,-0.27655,0.64957,0.0014266,82318,0.14082,0.00013819,1.6556,0.15264
0.6417,0.077035,0.0014534,-29.848,3.8279,0.60879,-0.28282,0.64708,0.0057398,87193,-0.11006,0.00030375,3.2,-0.10489
0.60905,0.090596,0.0027057,-17.941,2.1121,0.77251,-0.78262,0.61993,0.000056418,42187,0.32088,0.000085949,1.1111,-0.25225
0.66857,0.058378,0.0013773,-20.046,2.7705,0.6277,-0.46292,0.67836,0.00041239,47729,0.17043,0.000024518,1.7,-0.035666
0.67325,0.053353,0.0013125,-17.773,2.8222,0.64148,-0.49654,0.68342,0.0004003,40011,0.12945,9.9365E-006,1.1889,-0.14098
0.64562,0.065684,0.0014489,-23.969,3.5523,0.63963,-0.44849,0.6533,0.00020552,55070,0.092643,0.000059612,2.4333,0.10676
0.6748,0.050495,0.0010409,-19.954,3.2984,0.61359,-0.22363,0.6845,0.00022836,46727,0.13672,0.000013406,3.2667,-0.5285
0.67388,0.053045,0.0012199,-18.389,3.3069,0.6377,-0.39246,0.68322,0.00039089,44685,0.15815,8.9016E-006,2.7111,0.093432
0.65579,0.071565,0.0012623,-31.445,3.3695,0.55111,-0.20803,0.664,0.0024716,107620,0.1123,0.00087495,3.9889,1.1214
0.59719,0.11188,0.0018023,-56.928,4.6297,0.57936,-0.19789,0.60203,0.054923,202630,0.064819,0.004869,2.4333,-1.926
0.50394,0.04132,0.00078963,-28.662,4.5212,0.473,-0.54594,0.59985,0.2771,39324,0,0,0,-0.99746
0.49181,0.051743,0.00061402,-37.097,3.7507,0.45466,-0.61763,0.58135,0.28875,65020,0.036979,9.6781E-006,3.791,0.29901
0.46599,0.085847,0.0010396,-63.378,2.6786,0.47158,-0.64474,0.53573,0.32546,171690,0.11113,0.00042484,4,-0.94914
0.49332,0.052819,0.00072432,-40.59,2.7583,0.44166,-0.66399,0.58758,0.29255,73928,0.042966,7.7396E-006,0.56716,0.13128
0.46926,0.064903,0.00091574,-44.652,3.3561,0.46234,-0.53219,0.54248,0.32053,98017,0.066917,0.000054265,0.92537,-0.41653
0.47189,0.061779,0.00092985,-41.135,3.4841,0.46054,-0.56027,0.54658,0.31676,89344,0.10248,0.000044022,3.7313,0.48799
0.43249,0.069598,0.0011393,-44.626,3.0223,0.4951,-0.73298,0.50618,0.33582,81441,0.17302,0.000035004,1.1493,0.46753
0.49423,0.049164,0.00075297,-36.73,3.3613,0.44571,-0.60964,0.58852,0.2887,64215,0.015956,3.1586E-006,0.56716,0.52089
0.49354,0.050383,0.00075218,-37.889,3.0541,0.44112,-0.65171,0.58804,0.29098,68582,0.02701,3.2434E-006,0.50746,0.44314
0.47387,0.05669,0.00056878,-40.806,3.8517,0.45558,-0.54113,0.55432,0.31401,79170,0.059712,0.000023146,0.67164,0.99917
0.4919,0.056493,0.00072796,-43.737,2.6303,0.43945,-0.67745,0.58515,0.29634,89583,0.074187,0.0000255,0.8209,-0.2436
0.49118,0.051804,0.00068691,-36.57,3.4914,0.44733,-0.63275,0.5825,0.2978,68550,0.018687,7.3267E-006,0.58209,0.29707
